# https://www.investing.com/currencies/usd-mxn-historical-data
"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2025","19.4830","19.6200","19.7811","19.3032","","-0.67%"
"04/01/2025","19.6145","20.4784","21.0880","19.4694","","-4.19%"
"03/01/2025","20.4715","20.5265","21.0035","19.8457","","-0.36%"
"02/01/2025","20.5445","21.1600","21.2942","20.1936","","-0.67%"
"01/01/2025","20.6830","20.8235","20.9425","20.1321","","-0.66%"
"12/01/2024","20.8197","20.3750","20.9105","20.0204","","2.25%"
"11/01/2024","20.3610","20.0325","20.8365","19.7600","","1.74%"
"10/01/2024","20.0120","19.7105","20.2345","19.1112","","1.70%"
"09/01/2024","19.6780","19.7255","20.1555","19.0654","","-0.16%"
"08/01/2024","19.7100","18.6000","20.0430","18.4100","","5.97%"
"07/01/2024","18.6000","18.3047","18.9492","17.6025","","1.47%"
"06/01/2024","18.3300","16.9825","18.9955","16.9170","","7.87%"
"05/01/2024","16.9930","17.1510","17.1742","16.5240","","-0.83%"
"04/01/2024","17.1355","16.5885","17.9465","16.2602","","3.66%"
"03/01/2024","16.5310","17.0655","17.0755","16.5095","","-3.04%"
"02/01/2024","17.0490","17.2190","17.2955","16.9939","","-0.95%"
"01/01/2024","17.2120","16.9734","17.3965","16.7845","","1.52%"
"12/01/2023","16.9540","17.3859","17.5655","16.8598","","-2.44%"
"11/01/2023","17.3784","18.0465","18.1164","17.0326","","-3.65%"
"10/01/2023","18.0370","17.4150","18.4905","17.3790","","3.68%"
"09/01/2023","17.3970","17.0350","17.8186","16.9711","","2.17%"
"08/01/2023","17.0270","16.7450","17.4350","16.6925","","1.79%"
"07/01/2023","16.7280","17.1305","17.3968","16.6248","","-2.25%"
"06/01/2023","17.1135","17.6895","17.7282","17.0219","","-3.21%"
"07/01/2025","18.7560","18.7422","18.8310","18.6599","","0.05%"
