"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2025","4,181.25","4,265.20","4,324.50","4,161.36","","-1.41%"
"04/01/2025","4,240.89","4,172.00","4,463.50","4,105.58","","1.75%"
"03/01/2025","4,168.00","4,155.10","4,209.70","4,064.63","","0.31%"
"02/01/2025","4,155.10","4,208.65","4,245.91","4,060.69","","-1.19%"
"01/01/2025","4,205.00","4,405.54","4,430.37","4,143.52","","-4.47%"
"12/01/2024","4,401.96","4,432.98","4,482.29","4,308.12","","-0.69%"
"11/01/2024","4,432.50","4,427.80","4,543.59","4,294.00","","0.17%"
"10/01/2024","4,425.07","4,209.50","4,435.50","4,154.75","","5.21%"
"09/01/2024","4,205.97","4,172.50","4,301.37","4,121.27","","0.47%"
"08/01/2024","4,186.50","4,050.20","4,209.52","3,999.00","","3.43%"
"07/01/2024","4,047.59","4,148.63","4,155.01","3,916.13","","-2.44%"
"06/01/2024","4,148.65","3,874.00","4,191.50","3,854.07","","7.61%"
"05/01/2024","3,855.16","3,917.00","3,924.22","3,807.69","","-1.67%"
"04/01/2024","3,920.50","3,861.20","3,974.30","3,740.25","","1.65%"
"03/01/2024","3,857.00","3,925.76","3,964.35","3,827.58","","-1.62%"
"02/01/2024","3,920.51","3,915.05","3,985.26","3,879.07","","0.64%"
"01/01/2024","3,895.50","3,872.50","3,986.20","3,865.94","","0.59%"
"12/01/2023","3,872.59","4,030.30","4,043.50","3,807.00","","-3.37%"
"11/01/2023","4,007.57","4,118.00","4,141.62","3,922.17","","-2.62%"
"10/01/2023","4,115.50","4,077.67","4,432.40","4,028.60","","0.99%"
"09/01/2023","4,075.00","4,092.11","4,129.64","3,867.48","","-0.31%"
"08/01/2023","4,087.55","3,924.53","4,172.25","3,920.15","","4.29%"
"07/01/2023","3,919.50","4,161.00","4,237.28","3,870.09","","-6.06%"
"06/01/2023","4,172.50","4,452.80","4,454.00","4,080.70","","-6.20%"
