Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/02/2025,08/03/2025,Payment Thank You - Web,,Payment,5.00,
07/01/2025,07/02/2025,MTS- PRONTO,Travel,Sale,-5.00,
07/01/2025,07/01/2025,Payment Thank You - Web,,Payment,30.00,
06/28/2025,06/29/2025,MTS- PRONTO,Travel,Sale,-5.00,
06/27/2025,06/29/2025,MTS- PRONTO,Travel,Sale,-5.00,
06/25/2025,06/26/2025,MTS- PRONTO,Travel,Sale,-5.00,
06/24/2025,06/25/2025,MTS- PRONTO,Travel,Sale,-5.00,
06/14/2025,06/15/2025,MTS- PRONTO,Travel,Sale,-5.00,
06/13/2025,06/15/2025,MTS- PRONTO,Travel,Sale,-5.00,
04/01/2025,04/02/2025,Payment Thank You - Web,,Payment,15.98,
03/26/2025,03/26/2025,Google YouTube,Entertainment,Sale,-7.99,
03/21/2025,03/21/2025,AUTOMATIC PAYMENT - THANK,,Payment,0.54,
02/25/2025,02/26/2025,GOOGLE *YouTube,Entertainment,Sale,-7.99,
02/10/2025,02/12/2025,AZTEC MARKET BELL PAVI,Gifts & Donations,Sale,-0.54,
02/03/2025,02/03/2025,Payment Thank You - Web,,Payment,99.77,
01/31/2025,02/02/2025,SDSU,Education,Sale,-0.05,
01/30/2025,02/02/2025,AZTEC MARKET BELL PAVI,Gifts & Donations,Sale,-4.19,
01/30/2025,02/02/2025,AZTEC MARKET BELL PAVI,Gifts & Donations,Sale,-2.99,
01/31/2025,02/02/2025,SDSU,Education,Sale,-2.00,
01/27/2025,01/29/2025,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.00,
01/24/2025,01/28/2025,AZTEC MARKET BELL PAVI,Gifts & Donations,Sale,-2.99,
01/25/2025,01/28/2025,GOOGLE *YouTube,Bills & Utilities,Sale,-7.99,
01/23/2025,01/26/2025,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.00,
01/21/2025,01/22/2025,M&amp;M MARKET,Shopping,Sale,-7.80,
01/21/2025,01/22/2025,T.J. MAXX #1476,Shopping,Sale,-24.76,
01/15/2025,01/16/2025,MTS- PRONTO,Travel,Sale,-5.00,
01/14/2025,01/15/2025,MTS- PRONTO,Travel,Sale,-5.00,
01/11/2025,01/12/2025,MTS- PRONTO,Travel,Sale,-5.00,
01/06/2025,01/07/2025,Payment Thank You - Web,,Payment,185.41,
12/25/2024,12/26/2024,GOOGLE *YouTube,Shopping,Sale,-7.99,
12/19/2024,12/20/2024,WESTERN DENTAL 95,Health & Wellness,Sale,-170.00,
12/19/2024,12/20/2024,SDSU,Education,Sale,-7.42,
12/08/2024,12/08/2024,Payment Thank You - Web,,Payment,47.41,
12/03/2024,12/04/2024,SDSU,Education,Sale,-7.42,
11/25/2024,11/26/2024,GOOGLE *YouTube,Shopping,Sale,-7.99,
11/20/2024,11/21/2024,SDSU,Education,Sale,-16.00,
11/12/2024,11/13/2024,SDSU,Education,Sale,-16.00,
11/06/2024,11/06/2024,Payment Thank You-Mobile,,Payment,7.99,
10/25/2024,10/27/2024,GOOGLE *YouTube,Shopping,Sale,-7.99,
10/05/2024,10/06/2024,Payment Thank You - Web,,Payment,7.99,
09/25/2024,09/26/2024,GOOGLE *YouTube,Shopping,Sale,-7.99,
09/03/2024,09/04/2024,Payment Thank You - Web,,Payment,158.00,
08/13/2024,08/14/2024,SDSU,Education,Sale,-158.00,
08/03/2024,08/04/2024,Payment Thank You - Web,,Payment,63.45,
07/20/2024,07/21/2024,PETCO 1162,Shopping,Sale,-63.45,
07/06/2024,07/07/2024,Payment Thank You-Mobile,,Payment,199.67,
06/26/2024,06/28/2024,AZTEC MARKET BELL PAVI,Groceries,Sale,-9.38,
06/25/2024,06/27/2024,RALPHS #0077,Groceries,Sale,-36.84,
06/25/2024,06/26/2024,NORTHGATE MARKET #036,Groceries,Sale,-105.46,
06/11/2024,06/13/2024,AZTEC RECREATION,Education,Sale,-35.00,
06/10/2024,06/12/2024,AZTEC MARKET BELL PAVI,Groceries,Sale,-7.99,
06/10/2024,06/12/2024,MTS- PRONTO,Travel,Sale,-2.50,
06/06/2024,06/09/2024,MTS- PRONTO,Travel,Sale,-2.50,
06/05/2024,06/05/2024,Payment Thank You - Web,,Payment,982.50,
05/28/2024,05/29/2024,SDSU,Education,Sale,-15.00,
05/21/2024,05/23/2024,BURGER KING #16576 Q07,Food & Drink,Sale,-9.58,
05/11/2024,05/13/2024,TST* II GIARDINO DI LILLI,Food & Drink,Sale,-27.90,
05/10/2024,05/13/2024,FACULTY STAFF CLUB 472,Groceries,Sale,-15.00,
05/09/2024,05/12/2024,AZTEC MARKET BELL PAVI,Groceries,Sale,-3.39,
05/02/2024,05/05/2024,MARRIOTT CAMBRIDGE,Travel,Sale,-911.63,
05/03/2024,05/03/2024,Payment Thank You - Web,,Payment,80.82,
05/01/2024,05/02/2024,CVS/PHARMACY #11242,Health & Wellness,Sale,-2.24,
05/01/2024,05/02/2024,TST* FLOUR BAKERY + CAFE,Food & Drink,Sale,-19.05,
05/01/2024,05/02/2024,TST* FLOUR BAKERY + CAFE,Food & Drink,Sale,-13.91,
04/30/2024,05/01/2024,MBTA SCIENCE PARK,Travel,Sale,-2.40,
04/30/2024,05/01/2024,MBTA KENDALL,Travel,Sale,-4.80,
04/30/2024,05/01/2024,TST* TRIDENT BOOK SELLERS,Food & Drink,Sale,-6.32,
04/29/2024,05/01/2024,TST* ZA CAMBRIDGE,Food & Drink,Sale,-24.13,
04/29/2024,04/30/2024,CVS/PHARMACY #11242,Health & Wellness,Sale,-7.97,
03/30/2024,03/31/2024,Payment Thank You - Web,,Payment,9.06,
03/22/2024,03/22/2024,AUTOMATIC PAYMENT - THANK,,Payment,2.06,
03/13/2024,03/14/2024,REGENT UNIV CA SAN DIE,Education,Sale,-0.06,
03/13/2024,03/14/2024,REGENT UNIV CA SAN DIE,Education,Sale,-2.00,
02/28/2024,02/29/2024,SDSU,Education,Sale,-7.00,
02/20/2024,02/21/2024,REGENT UNIV CA SAN DIE,Education,Sale,-0.06,
02/20/2024,02/21/2024,REGENT UNIV CA SAN DIE,Education,Sale,-2.00,
