Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/02/2023,12/03/2023,Payment Thank You - Web,,Payment,42.08,
11/22/2023,11/22/2023,AUTOMATIC PAYMENT - THANK,,Payment,174.31,
11/01/2023,11/02/2023,TST* BCB CAFE - UCSD - RE,Food & Drink,Sale,-4.50,
10/30/2023,11/01/2023,805 AZ MKT,Groceries,Sale,-4.29,
10/22/2023,10/22/2023,AUTOMATIC PAYMENT - THANK,,Payment,159.40,
09/29/2023,10/01/2023,SDSU,Education,Sale,-7.00,
09/27/2023,09/27/2023,HELLOFRESH,Groceries,Sale,-10.99,
09/22/2023,09/22/2023,AUTOMATIC PAYMENT - THANK,,Payment,156.32,
09/12/2023,09/13/2023,REGENT UNIV CA SAN DIE,Education,Sale,-0.08,
09/12/2023,09/13/2023,REGENT UNIV CA SAN DIE,Education,Sale,-3.00,
08/22/2023,08/22/2023,AUTOMATIC PAYMENT - THANK,,Payment,156.32,
