Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/02/2025,08/03/2025,Payment Thank You - Web,,Payment,71.65,
07/16/2025,07/18/2025,RALPHS #0077,Groceries,Sale,-71.65,
04/01/2025,04/02/2025,Payment Thank You - Web,,Payment,105.55,
03/28/2025,03/28/2025,AUTOMATIC PAYMENT - THANK,,Payment,132.24,
03/20/2025,03/23/2025,KUMARA PRATHIPATI MD INC,Health & Wellness,Sale,-15.00,
03/20/2025,03/21/2025,SDSU,Education,Sale,-7.42,
03/13/2025,03/16/2025,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.00,
03/11/2025,03/13/2025,TRADER JOE S #224,Groceries,Sale,-28.84,
03/10/2025,03/11/2025,TST* BABA'S PIZZA - SDSU,Food & Drink,Sale,-12.92,
03/05/2025,03/06/2025,PANDA EXPRESS 885,Food & Drink,Sale,-9.37,
03/04/2025,03/06/2025,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.00,
02/09/2025,02/11/2025,ROSS STORE #348,Shopping,Sale,-89.65,
02/10/2025,02/11/2025,Subway 57844,Food & Drink,Sale,-9.47,
02/05/2025,02/07/2025,SDSU BOOKSTORE 304,Gifts & Donations,Sale,-9.70,
02/04/2025,02/06/2025,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.00,
02/03/2025,02/04/2025,SDSU,Education,Sale,-7.42,
02/03/2025,02/03/2025,Payment Thank You - Web,,Payment,120.00,
01/19/2025,01/20/2025,USCUSTOMS TRUSTEDTRAVELER,Bills & Utilities,Sale,-120.00,
11/06/2024,11/06/2024,Payment Thank You-Mobile,,Payment,22.63,
11/01/2024,11/04/2024,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-32.00,
10/29/2024,10/30/2024,TST* BABA'S PIZZA - SDSU,Food & Drink,Sale,-12.92,
09/17/2024,09/19/2024,SHEIN.COM,Shopping,Return,22.29,
09/03/2024,09/04/2024,Payment Thank You - Web,,Payment,220.51,
08/06/2024,08/07/2024,SHEIN.COM,Shopping,Sale,-182.00,
08/05/2024,08/07/2024,SHEIN.COM,Shopping,Sale,-38.51,
08/03/2024,08/04/2024,Payment Thank You - Web,,Payment,92.00,
07/05/2024,07/08/2024,JCB INSURANCE SOLUTIONS,Bills & Utilities,Sale,-92.00,
05/03/2024,05/03/2024,Payment Thank You - Web,,Payment,4.46,
04/16/2024,04/17/2024,M&amp;M MARKET,Shopping,Sale,-4.46,
03/30/2024,03/31/2024,Payment Thank You - Web,,Payment,14.66,
03/28/2024,03/28/2024,AUTOMATIC PAYMENT - THANK,,Payment,9.16,
03/25/2024,03/27/2024,ROSS STORE #348,Shopping,Sale,-4.30,
03/24/2024,03/26/2024,SHELL OIL10087441019,Gas,Sale,-10.36,
02/28/2024,03/01/2024,IN-N-OUT SDMISSIONVALL,Food & Drink,Sale,-9.16,
02/01/2024,02/02/2024,Payment Thank You - Web,,Payment,9.99,
01/30/2024,01/31/2024,VIKI.COM,Entertainment,Sale,-9.99,
12/28/2023,12/28/2023,AUTOMATIC PAYMENT - THANK,,Payment,15.00,
12/01/2023,12/03/2023,472 FACULTY STAFF CLUB,Food & Drink,Sale,-15.00,
