Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/03/2025,08/04/2025,AMAZON MKTPL*2Y5QV93E3,Shopping,Sale,-2.95,
08/02/2025,08/03/2025,Payment Thank You - Web,,Payment,922.17,
08/02/2025,08/03/2025,AMAZON PRIME*2V37K8XG3,Bills & Utilities,Sale,-16.53,
07/29/2025,07/30/2025,PAYPAL *DOFUS WAKFU INVOI,Entertainment,Sale,-5.07,
07/26/2025,07/27/2025,Amazon.com*LD23P8DE3,Shopping,Sale,-51.17,
07/25/2025,07/27/2025,AMAZON MKTPL*Q73RN35S3,Shopping,Sale,-30.16,
07/22/2025,07/23/2025,AMAZON MKTPL*6T5WY1A63,Shopping,Sale,-31.96,
07/21/2025,07/22/2025,AMAZON MKTPL*CO6307203,Shopping,Sale,-20.50,
07/21/2025,07/22/2025,AMAZON MKTPL*N76UN1B43,Shopping,Sale,-191.93,
07/21/2025,07/22/2025,AMAZON MKTPL*8A98Q0D43,Shopping,Sale,-48.50,
07/21/2025,07/22/2025,AMAZON MKTPL*762EZ2VE3,Shopping,Sale,-6.60,
07/21/2025,07/22/2025,AMAZON MKTPL*5A2JV9BZ3,Shopping,Sale,-62.83,
07/20/2025,07/21/2025,Amazon.com*N83TO3VX3,Shopping,Sale,-68.96,
07/19/2025,07/20/2025,AMAZON MKTPL*EC5708NB3,Shopping,Sale,-20.46,
07/17/2025,07/18/2025,AMAZON MKTPL*R28TT1QJ3,Shopping,Sale,-13.52,
07/14/2025,07/15/2025,AMAZON MKTPL*B96D31BR3,Shopping,Sale,-11.01,
07/13/2025,07/15/2025,Amazon.com*NR1SA4321,Shopping,Sale,-44.09,
07/13/2025,07/14/2025,UBER   *TRIP,Travel,Sale,-31.99,
07/13/2025,07/14/2025,Amazon.com*IF5DP6RR3,Shopping,Sale,-16.53,
07/12/2025,07/13/2025,Spectrum,Bills & Utilities,Sale,-76.24,
07/07/2025,07/08/2025,UBER   *TRIP,Travel,Sale,-17.93,
07/07/2025,07/08/2025,UBER   *TRIP,Travel,Sale,-18.95,
07/06/2025,07/07/2025,MINT MOBILE,Bills & Utilities,Sale,-21.00,
07/07/2025,07/07/2025,UBER   *TRIP,Travel,Sale,-30.92,
07/03/2025,07/04/2025,AMAZON MKTPL*N31FX31C1,Shopping,Sale,-18.31,
07/02/2025,07/03/2025,AMAZON MKTPL*N30KH12I2,Shopping,Sale,-7.53,
07/02/2025,07/03/2025,AMAZON PRIME*N315U3J00,Bills & Utilities,Sale,-16.15,
07/01/2025,07/02/2025,AMAZON MKTPL*N335C5OU0,Shopping,Sale,-9.64,
07/01/2025,07/01/2025,Payment Thank You - Web,,Payment,399.91,
06/30/2025,07/01/2025,AMAZON MKTPL*N35TK0MT2,Shopping,Sale,-10.76,
06/30/2025,07/01/2025,AMAZON MKTPL*NQ6T18RF0,Shopping,Sale,-19.32,
06/30/2025,07/01/2025,AMAZON MKTPL*NQ95A1UU0,Shopping,Sale,-20.14,
06/29/2025,06/30/2025,MINT MOBILE,Bills & Utilities,Sale,-21.00,
06/17/2025,06/18/2025,Amazon.com*NO66J5GZ2,Shopping,Sale,-24.75,
06/13/2025,06/15/2025,AMAZON MKTPL*NA1GH3C11,Shopping,Sale,-16.14,
06/12/2025,06/15/2025,AMAZON MKTPL*NH8454WJ1,Shopping,Sale,-118.51,
06/12/2025,06/13/2025,Spectrum,Bills & Utilities,Sale,-76.24,
06/10/2025,06/11/2025,AMAZON MKTPL*NH50O5GK1,Shopping,Sale,-69.80,
06/03/2025,06/04/2025,AMAZON MKTPL*N69BJ3JA0,Shopping,Sale,-30.70,
06/03/2025,06/04/2025,Amazon.com*N603M40X1,Shopping,Sale,-15.95,
06/03/2025,06/04/2025,Amazon.com*N62275NE0,Shopping,Sale,-10.67,
06/02/2025,06/03/2025,AMAZON PRIME*N69GW4NF1,Bills & Utilities,Sale,-16.15,
06/02/2025,06/02/2025,Payment Thank You - Web,,Payment,239.95,
05/23/2025,05/25/2025,Amazon.com*NZ84N45T1,Shopping,Sale,-64.62,
05/19/2025,05/20/2025,Amazon.com*NW3KL29M0,Shopping,Sale,-35.55,
05/18/2025,05/19/2025,AMAZON MKTPL*NW1MP6H90,Shopping,Sale,-26.93,
05/17/2025,05/18/2025,AMAZON MKTPL*NZ5EK0VJ2,Shopping,Sale,-20.46,
05/12/2025,05/13/2025,Spectrum,Bills & Utilities,Sale,-76.24,
05/03/2025,05/04/2025,Payment Thank You - Web,,Payment,506.74,
05/02/2025,05/04/2025,AMAZON PRIME*N297J0I00,Bills & Utilities,Sale,-16.15,
05/01/2025,05/02/2025,AMAZON MKTPL*NB4IC3KQ2,Shopping,Sale,-33.77,
04/27/2025,04/28/2025,AMAZON MKTPL*X27ES2XG3,Shopping,Sale,-30.70,
04/27/2025,04/28/2025,Amazon.com*OM1Q59O43,Shopping,Sale,-34.02,
04/25/2025,04/27/2025,Amazon.com*BC5265AB3,Shopping,Sale,-51.17,
04/25/2025,04/27/2025,Amazon.com*M56TY93E3,Shopping,Sale,-15.98,
04/25/2025,04/25/2025,AMAZON MKTPL*N27NQ2952,Shopping,Sale,-17.21,
04/15/2025,04/16/2025,Amazon.com*L193S21C3,Shopping,Sale,-10.67,
04/15/2025,04/16/2025,Amazon.com*SL7Q37PW3,Shopping,Sale,-8.73,
04/12/2025,04/13/2025,Spectrum,Bills & Utilities,Sale,-76.24,
04/05/2025,04/06/2025,AMAZON MKTPL*PB3MC5183,Shopping,Sale,-29.08,
04/04/2025,04/06/2025,Kindle Unltd*SP4BW3Z93,Shopping,Sale,-11.99,
04/02/2025,04/03/2025,AMAZON PRIME*K88IG0G13,Bills & Utilities,Sale,-16.15,
04/03/2025,04/03/2025,UBER   *TRIP,Travel,Sale,-47.99,
04/02/2025,04/03/2025,UBER   *TRIP,Travel,Sale,-37.89,
04/01/2025,04/03/2025,IL PIATTO,Food & Drink,Sale,-57.95,
04/01/2025,04/02/2025,Payment Thank You - Web,,Payment,1268.91,
04/02/2025,04/02/2025,UBER   *TRIP,Travel,Sale,-27.20,
03/29/2025,03/30/2025,Amazon.com*V77HT8SA3,Shopping,Sale,-10.73,
03/22/2025,03/23/2025,AMAZON MKTPL*C58XI4AI3,Shopping,Sale,-26.93,
03/17/2025,03/18/2025,GEICO  *AUTO,Bills & Utilities,Sale,-1028.78,
03/14/2025,03/14/2025,AUTOMATIC PAYMENT - THANK,,Payment,288.14,
03/12/2025,03/13/2025,Spectrum,Bills & Utilities,Sale,-76.24,
03/08/2025,03/09/2025,Amazon.com*SU1WQ6GQ3,Shopping,Sale,-30.71,
03/04/2025,03/05/2025,Kindle Unltd*Y87A21LQ3,Shopping,Sale,-11.99,
03/04/2025,03/05/2025,AMAZON MKTPL*OH86Q6O93,Shopping,Sale,-8.60,
03/02/2025,03/03/2025,AMAZON PRIME*GV2W23HA3,Bills & Utilities,Sale,-16.15,
02/25/2025,02/26/2025,AMAZON MKTPL*0332B0TU3,Shopping,Sale,-10.20,
02/25/2025,02/25/2025,AMAZON MKTPL*4U37E6YA3,Shopping,Sale,-17.39,
02/19/2025,02/20/2025,REGENT UNIV CA SAN DIE,Education,Sale,-3.00,
02/19/2025,02/20/2025,REGENT UNIV CA SAN DIE,Education,Sale,-0.08,
02/17/2025,02/18/2025,AMAZON MKTPL*AZ7DP19X3,Shopping,Sale,-28.11,
