Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/12/2025,02/13/2025,Spectrum,Bills & Utilities,Sale,-76.24,
02/10/2025,02/11/2025,AMAZON MKTPL*1S2QT7RS3,Shopping,Sale,-26.93,
02/09/2025,02/09/2025,AMAZON MKTPL*NO9OA6IB3,Shopping,Sale,-16.36,
02/03/2025,02/04/2025,Amazon.com,Shopping,Return,208.49,
02/03/2025,02/04/2025,Kindle Unltd*ZC5DQ3YX1,Shopping,Sale,-11.99,
02/03/2025,02/04/2025,Amazon.com*ZC77O1YW1,Shopping,Sale,-247.81,
02/04/2025,02/04/2025,AMAZON MKTPL*7A2AQ1ER3,Shopping,Sale,-15.07,
02/03/2025,02/04/2025,AMAZON MKTPL*Z71G15AZ0,Shopping,Sale,-15.59,
02/03/2025,02/03/2025,Payment Thank You - Web,,Payment,1119.99,
02/03/2025,02/03/2025,Amazon.com*Z73II3TO0,Shopping,Sale,-53.82,
02/02/2025,02/03/2025,Amazon.com*ZC2P256H1,Shopping,Sale,-16.67,
02/02/2025,02/03/2025,Amazon Prime*Z75LL4LU0,Bills & Utilities,Sale,-16.15,
01/31/2025,02/02/2025,AMAZON MKTPL*ZC3P91IG0,Shopping,Sale,-26.93,
02/01/2025,02/02/2025,AMAZON MKTPL*ZC6TF6W10,Shopping,Sale,-19.32,
01/30/2025,01/30/2025,AMAZON MKTPL*ZC7ZX56L0,Shopping,Sale,-12.92,
01/29/2025,01/29/2025,AMAZON MKTPL*ZC4CD15N0,Shopping,Sale,-23.59,
01/26/2025,01/28/2025,AMAZON MKTPL*ZG4J39BT1,Shopping,Sale,-14.00,
01/26/2025,01/28/2025,Amazon.com*ZG1J22BU1,Shopping,Sale,-10.23,
01/21/2025,01/22/2025,Amazon.com*ZG2KR5XC0,Shopping,Sale,-208.49,
01/19/2025,01/20/2025,AMAZON MKTPL*Z50VE7PO1,Shopping,Sale,-25.18,
01/19/2025,01/19/2025,AMAZON MKTPL*ZG35H0OS0,Shopping,Sale,-17.23,
01/18/2025,01/19/2025,Amazon.com*Z54EH7EG1,Shopping,Sale,-37.70,
01/13/2025,01/14/2025,Amazon.com*Z595V7WM2,Shopping,Sale,-14.54,
01/13/2025,01/14/2025,SDSU,Education,Sale,-160.00,
01/13/2025,01/13/2025,AMAZON MKTPL*ZD40M2VF1,Shopping,Sale,-10.76,
01/12/2025,01/13/2025,AMAZON MKTPL*Z55JQ5CI0,Shopping,Sale,-43.05,
01/12/2025,01/13/2025,Amazon.com*ZD0ZC0WR0,Shopping,Sale,-53.88,
01/12/2025,01/13/2025,Spectrum,Bills & Utilities,Sale,-73.24,
01/12/2025,01/13/2025,AMAZON MKTPL*Z51SR49V2,Shopping,Sale,-43.05,
01/10/2025,01/12/2025,AMAZON MKTPL*Z55EQ65P2,Shopping,Sale,-28.00,
01/11/2025,01/12/2025,AMAZON MKTPL*Z50RS1BX2,Shopping,Sale,-10.76,
01/09/2025,01/09/2025,MINT MOBILE,Bills & Utilities,Sale,-219.12,
01/06/2025,01/07/2025,Payment Thank You - Web,,Payment,364.15,
01/05/2025,01/07/2025,MTA*METROCARD MACHINE,Travel,Sale,-34.00,
01/05/2025,01/07/2025,MTA*METROCARD MACHINE,Travel,Sale,-34.00,
01/04/2025,01/05/2025,Kindle Unltd*ZP0255L51,Shopping,Sale,-11.99,
01/02/2025,01/02/2025,Amazon Prime*ZD64K6CL2,Bills & Utilities,Sale,-16.15,
12/28/2024,12/30/2024,MTA*METROCARD MACHINE,Travel,Sale,-35.00,
12/28/2024,12/30/2024,MTA*METROCARD MACHINE,Travel,Sale,-35.00,
12/24/2024,12/24/2024,AMAZON MKTPL*ZE88F1HM2,Shopping,Sale,-22.62,
12/17/2024,12/17/2024,AMAZON MKTPL*Z110684S1,Shopping,Sale,-20.46,
12/16/2024,12/17/2024,AMAZON MKTPL*Z16ON8902,Shopping,Sale,-27.57,
12/15/2024,12/16/2024,AMAZON MKTPL*Z18MI43D0,Shopping,Sale,-21.54,
12/15/2024,12/16/2024,AMAZON MKTPL*Z196M93G0,Shopping,Sale,-17.88,
12/15/2024,12/16/2024,AMAZON MKTPL*Z172N5NN0,Shopping,Sale,-26.93,
12/12/2024,12/13/2024,Spectrum,Bills & Utilities,Sale,-73.24,
12/11/2024,12/12/2024,AMAZON MKTPL*ZX8CN9DB2,Shopping,Sale,-18.31,
12/11/2024,12/12/2024,AMAZON MKTPL*ZX2FA9D52,Shopping,Sale,-20.46,
12/11/2024,12/12/2024,AMAZON MKTPL*ZX1FW2DL2,Shopping,Sale,-7.32,
12/08/2024,12/09/2024,Amazon.com*ZX76U34F2,Shopping,Sale,-9.68,
12/08/2024,12/08/2024,Payment Thank You - Web,,Payment,338.22,
12/04/2024,12/05/2024,Kindle Unltd*ZL9YC07S2,Shopping,Sale,-11.99,
12/03/2024,12/04/2024,Amazon.com*ZL80W9BF2,Shopping,Sale,-38.72,
12/02/2024,12/03/2024,Amazon Prime*Z368349Y1,Bills & Utilities,Sale,-16.15,
11/29/2024,12/01/2024,AMAZON MKTPL*Z35VL3Q32,Shopping,Sale,-21.54,
11/30/2024,12/01/2024,AMAZON MKTPL*Z31D129G2,Shopping,Sale,-21.54,
11/29/2024,12/01/2024,Amazon.com*Z309W47P0,Shopping,Sale,-11.06,
11/29/2024,12/01/2024,AMAZON MKTPL*Z35BM2SH2,Shopping,Sale,-26.60,
11/27/2024,11/28/2024,Amazon.com*Z312Z21I0,Shopping,Sale,-19.37,
11/27/2024,11/28/2024,Amazon.com*Z312561H0,Shopping,Sale,-20.13,
11/24/2024,11/25/2024,Amazon.com*5P4WF3MA3,Shopping,Sale,-19.80,
11/15/2024,11/17/2024,AMAZON MKTPL*QN82L2RJ3,Shopping,Sale,-7.53,
11/12/2024,11/13/2024,Spectrum,Bills & Utilities,Sale,-73.24,
11/11/2024,11/12/2024,AMAZON MKTPL*DA46Y6YL3,Shopping,Sale,-7.53,
11/07/2024,11/08/2024,AMAZON MKTPL*XH2CO2I73,Shopping,Sale,-20.46,
11/06/2024,11/06/2024,Payment Thank You-Mobile,,Payment,294.50,
11/05/2024,11/06/2024,Amazon.com*XR7RC0GD3,Shopping,Sale,-22.56,
11/04/2024,11/04/2024,Kindle Unltd*QC0I61OG3,Shopping,Sale,-11.99,
11/02/2024,11/03/2024,Amazon Prime*2Z2EX4OJ3,Bills & Utilities,Sale,-16.15,
10/25/2024,10/27/2024,UBER   *TRIP,Travel,Sale,-16.98,
10/21/2024,10/22/2024,AMAZON MKTPL*8R4DX1O23,Shopping,Sale,-41.69,
10/17/2024,10/18/2024,IMAGINARIUM,Personal,Sale,-107.00,
10/13/2024,10/14/2024,Amazon.com*411EQ12K3,Shopping,Sale,-15.04,
10/12/2024,10/13/2024,Spectrum,Bills & Utilities,Sale,-73.24,
10/09/2024,10/10/2024,Amazon.com*DR9SX1Y23,Shopping,Sale,-12.41,
10/05/2024,10/06/2024,Payment Thank You - Web,,Payment,1826.76,
10/04/2024,10/04/2024,Kindle Unltd*9K4LX21U3,Shopping,Sale,-11.99,
10/02/2024,10/03/2024,Amazon Prime*S60K71W63,Bills & Utilities,Sale,-16.15,
10/01/2024,10/01/2024,AGI*RENTERS/CONDO INS,Bills & Utilities,Sale,-215.00,
09/25/2024,09/26/2024,WWW.MAJEST* WWW.MAJEST,Health & Wellness,Sale,-87.00,
09/23/2024,09/23/2024,AMAZON MKTPL*XH5ZX6GE3,Shopping,Sale,-10.76,
09/23/2024,09/23/2024,AMAZON MKTPL*8S2EO3YR3,Shopping,Sale,-13.78,
09/23/2024,09/23/2024,AMAZON MKTPL*O415P0W33,Shopping,Sale,-3.98,
09/21/2024,09/22/2024,AMAZON MKTPL*AF6DK0T43,Shopping,Sale,-376.13,
09/17/2024,09/18/2024,GEICO  *AUTO,Bills & Utilities,Sale,-906.03,
09/14/2024,09/15/2024,AMAZON MKTPL*UG3955SR3,Shopping,Sale,-24.18,
09/12/2024,09/13/2024,AMAZON MKTPL*D42DR24C3,Shopping,Sale,-36.62,
09/12/2024,09/13/2024,UBER   *TRIP,Travel,Sale,-19.93,
09/12/2024,09/13/2024,Spectrum,Bills & Utilities,Sale,-73.24,
09/03/2024,09/04/2024,Payment Thank You - Web,,Payment,149.31,
09/04/2024,09/04/2024,Kindle Unltd*ZT66794N0,Shopping,Sale,-11.99,
09/03/2024,09/04/2024,PAYPAL *STEAM GAMES,Entertainment,Sale,-19.98,
09/02/2024,09/02/2024,Amazon Prime*RK0E88K01,Bills & Utilities,Sale,-16.15,
08/19/2024,08/20/2024,AMAZON MKTPL*RU06O0DO1,Shopping,Sale,-15.03,
08/18/2024,08/19/2024,AMAZON MKTPL*RU7E12HI1,Shopping,Sale,-8.52,
08/18/2024,08/19/2024,AMAZON MKTPL*RU9GQ5XF0,Shopping,Sale,-8.23,
08/12/2024,08/13/2024,Spectrum,Bills & Utilities,Sale,-73.24,
08/03/2024,08/04/2024,Payment Thank You - Web,,Payment,288.32,
08/02/2024,08/04/2024,Amazon Prime*RV6LM1WD1,Bills & Utilities,Sale,-16.15,
08/04/2024,08/04/2024,Kindle Unltd*RF05R9TR1,Shopping,Sale,-11.99,
08/02/2024,08/02/2024,MINT MOBILE,Bills & Utilities,Sale,-10.72,
07/29/2024,07/30/2024,AMAZON MKTPL*RV9SF37A2,Shopping,Sale,-12.92,
07/21/2024,07/22/2024,Amazon.com*RJ1SF83J2,Shopping,Sale,-7.67,
07/19/2024,07/21/2024,AMAZON MKTPL*RJ8ZZ0NH0,Shopping,Sale,-7.53,
07/17/2024,07/18/2024,AMAZON MKTPL*RS7A648D0,Shopping,Sale,-16.11,
07/12/2024,07/14/2024,Spectrum,Bills & Utilities,Sale,-56.99,
07/10/2024,07/11/2024,AMAZON MKTPL*RY4B71XP0,Shopping,Sale,-46.53,
07/09/2024,07/10/2024,AMAZON MKTPL*RY62W1AX0,Shopping,Sale,-30.16,
07/09/2024,07/09/2024,AMAZON MKTPL*RY9760TG0,Shopping,Sale,-25.81,
07/08/2024,07/09/2024,AMAZON MKTPL*R724K59T2,Shopping,Sale,-10.76,
07/07/2024,07/08/2024,Amazon.com*RY73N14F0,Shopping,Sale,-10.75,
07/07/2024,07/08/2024,Amazon.com*R73AF97G2,Shopping,Sale,-10.72,
07/07/2024,07/08/2024,AMAZON MKTPL*RY8VS4410,Shopping,Sale,-7.53,
07/07/2024,07/08/2024,Amazon.com*RY83D5400,Shopping,Sale,-10.75,
07/07/2024,07/08/2024,AMAZON MKTPL*R79M93KR1,Shopping,Sale,-10.72,
07/07/2024,07/08/2024,Amazon.com*R76FM7K81,Shopping,Sale,-10.72,
07/06/2024,07/07/2024,Payment Thank You-Mobile,,Payment,192.69,
07/05/2024,07/07/2024,AMAZON MKTPL*R72CY0VT2,Shopping,Sale,-1.93,
07/04/2024,07/04/2024,Kindle Unltd*R70IM2TU1,Shopping,Sale,-11.99,
07/02/2024,07/03/2024,Amazon Prime*RC2CM5YE1,Bills & Utilities,Sale,-16.15,
07/02/2024,07/03/2024,AMAZON MKTPLACE PMTS,Shopping,Return,28.00,
06/25/2024,06/26/2024,AMAZON MKTPL*RG0YE9UM2,Shopping,Sale,-18.31,
06/23/2024,06/24/2024,76 - PETRO WHEELER RID,Gas,Sale,-8.98,
06/15/2024,06/16/2024,POSTAL ANNEX + # 0043,Personal,Sale,-17.51,
06/15/2024,06/16/2024,AMAZON MKTPL*UA2ZV5ET3,Shopping,Sale,-16.11,
06/12/2024,06/13/2024,Spectrum,Bills & Utilities,Sale,-56.99,
06/12/2024,06/13/2024,AMZN Mktp US*BB6QO0IR3,Shopping,Sale,-28.00,
06/12/2024,06/13/2024,SDSU,Education,Sale,-7.00,
06/11/2024,06/12/2024,REGENT UNIV CA SAN DIE,Education,Sale,-0.11,
06/11/2024,06/12/2024,REGENT UNIV CA SAN DIE,Education,Sale,-4.00,
06/08/2024,06/09/2024,AMZN Mktp US*8L01C3FK3,Shopping,Sale,-25.85,
06/08/2024,06/09/2024,AMZN Mktp US*W65AQ1OY3,Shopping,Sale,-9.69,
06/05/2024,06/05/2024,Payment Thank You - Web,,Payment,735.55,
06/02/2024,06/03/2024,AMZN Mktp US*V376N3593,Shopping,Sale,-26.46,
06/02/2024,06/03/2024,Amazon Prime*WO94N89O3,Bills & Utilities,Sale,-16.15,
05/27/2024,05/28/2024,Amazon.com*MF82C4SY3,Shopping,Sale,-23.68,
05/20/2024,05/21/2024,UCSD PARKING MOBILE EBIZ,Travel,Sale,-5.70,
05/20/2024,05/21/2024,SDSU,Education,Sale,-15.00,
05/20/2024,05/20/2024,AMZN Mktp US*O68NE2D53,Shopping,Sale,-45.23,
05/15/2024,05/15/2024,AMZN Mktp US*SM6KC3YT3,Shopping,Sale,-6.45,
05/13/2024,05/14/2024,SDSU,Education,Sale,-15.00,
05/13/2024,05/14/2024,AMZN Mktp US*J898X3GW3,Shopping,Sale,-272.61,
05/12/2024,05/13/2024,Spectrum,Bills & Utilities,Sale,-56.99,
05/10/2024,05/12/2024,AMZN Mktp US*SU7ED8603,Shopping,Sale,-13.57,
05/07/2024,05/08/2024,AMZN Mktp US*BI1ON5M63,Shopping,Sale,-28.07,
05/07/2024,05/08/2024,Amazon.com*6C85C5NK3,Shopping,Sale,-6.39,
05/08/2024,05/08/2024,AMZN Mktp US*ZO4VK3JF3,Shopping,Sale,-4.31,
05/06/2024,05/07/2024,AMZN Mktp US*173DT5NA3,Shopping,Sale,-64.60,
05/06/2024,05/07/2024,AMZN Mktp US*SC29Z37C3,Shopping,Sale,-24.77,
05/03/2024,05/05/2024,Amazon.com*2A8M12XT3,Shopping,Sale,-13.78,
05/04/2024,05/05/2024,AMZN Mktp US*0N4G08ZL3,Shopping,Sale,-1.36,
05/03/2024,05/05/2024,UBER   TRIP,Travel,Sale,-54.99,
05/03/2024,05/03/2024,Payment Thank You - Web,,Payment,359.55,
05/02/2024,05/03/2024,Amazon Prime*I408P6VU3,Bills & Utilities,Sale,-16.15,
05/02/2024,05/03/2024,UBER   TRIP,Travel,Sale,-24.29,
04/30/2024,05/01/2024,AMZN Mktp US*511U84E43,Shopping,Sale,-20.43,
05/01/2024,05/01/2024,UBER   TRIP,Travel,Sale,-8.66,
04/30/2024,04/30/2024,UBER   TRIP,Travel,Sale,-48.58,
04/26/2024,04/28/2024,UCSD PARKING MOBILE EBIZ,Travel,Sale,-2.85,
04/24/2024,04/25/2024,Amazon.com*A80XQ4JX3,Shopping,Sale,-9.36,
04/22/2024,04/23/2024,AMZN Mktp US*HY1UQ1553,Shopping,Sale,-15.07,
04/21/2024,04/22/2024,AMZN Mktp US*V48EO24X3,Shopping,Sale,-15.07,
04/17/2024,04/18/2024,PAYPAL *SPOTIFYUSAI,Bills & Utilities,Sale,-14.99,
04/14/2024,04/15/2024,AMZN Mktp US*3V13Y5XO3,Shopping,Sale,-17.23,
04/14/2024,04/15/2024,AMZN Mktp US*S93WI8SU3,Shopping,Sale,-10.75,
04/12/2024,04/14/2024,Spectrum,Bills & Utilities,Sale,-56.99,
04/11/2024,04/11/2024,AMZN Mktp US*CK6DN5073,Shopping,Sale,-18.20,
04/07/2024,04/08/2024,AMZN Mktp US*9V5N064R3,Shopping,Sale,-30.16,
04/05/2024,04/07/2024,AMZN Mktp US*NV19K99B3,Shopping,Sale,-7.86,
04/06/2024,04/07/2024,AMZN Mktp US*IN6346OI3,Shopping,Sale,-9.69,
04/07/2024,04/07/2024,AMZN Mktp US*4I7D32073,Shopping,Sale,-11.99,
04/02/2024,04/03/2024,Amazon Prime*8698D35Z3,Bills & Utilities,Sale,-16.15,
04/01/2024,04/02/2024,PAYPAL *STEAM GAMES,Entertainment,Sale,-9.99,
04/01/2024,04/01/2024,AMZN Mktp US*RA7DO0HY1,Shopping,Sale,-11.42,
03/30/2024,03/31/2024,AMZN Mktp US*D342G48S3,Shopping,Sale,-24.11,
03/30/2024,03/31/2024,Payment Thank You - Web,,Payment,1325.29,
03/24/2024,03/25/2024,AMZN Mktp US*RA3EA2FC2,Shopping,Sale,-7.53,
03/24/2024,03/25/2024,AMZN Mktp US*RA1MO3HL0,Shopping,Sale,-14.00,
03/24/2024,03/25/2024,AMZN Mktp US*RA2HH6XT0,Shopping,Sale,-12.92,
03/25/2024,03/25/2024,AMZN Mktp US*RH0M13VW1,Shopping,Sale,-18.31,
03/17/2024,03/18/2024,GEICO  *AUTO,Bills & Utilities,Sale,-962.78,
03/17/2024,03/18/2024,PAYPAL *SPOTIFYUSAI,Bills & Utilities,Sale,-14.99,
03/16/2024,03/17/2024,AMZN Mktp US*R60IP1742,Shopping,Sale,-7.40,
03/16/2024,03/17/2024,Amazon.com*R64EA1KS2,Shopping,Sale,-3.92,
03/12/2024,03/13/2024,Spectrum,Bills & Utilities,Sale,-56.99,
03/08/2024,03/10/2024,AMZN Mktp US*R65WB2T20,Shopping,Sale,-18.31,
03/09/2024,03/10/2024,AMZN Mktp US*R65FP3E10,Shopping,Sale,-14.00,
03/07/2024,03/08/2024,SDSU,Education,Sale,-15.00,
03/04/2024,03/05/2024,Amazon.com*RZ2OZ8X61,Shopping,Sale,-21.54,
03/04/2024,03/05/2024,Amazon.com*RZ0BP0ME1,Shopping,Sale,-122.07,
03/03/2024,03/04/2024,AMZN Mktp US*RZ3YL4KL2,Shopping,Sale,-19.38,
03/03/2024,03/03/2024,Payment Thank You - Web,,Payment,585.22,
03/02/2024,03/03/2024,Amazon Prime*RZ3YM7BY2,Bills & Utilities,Sale,-16.15,
02/26/2024,02/27/2024,AMZN Mktp US*RW0PH69L2,Shopping,Sale,-10.23,
02/22/2024,02/23/2024,DIAMOND PARKING,Travel,Sale,-12.90,
02/20/2024,02/21/2024,Amazon.com*RW5850442,Shopping,Sale,-28.04,
02/18/2024,02/19/2024,AMZN Mktp US*RI46P79A2,Shopping,Sale,-300.62,
02/16/2024,02/18/2024,PAYPAL *SPOTIFYUSAI,Bills & Utilities,Sale,-14.99,
02/17/2024,02/18/2024,AMZN Mktp US*RI1C183K1,Shopping,Sale,-8.53,
02/17/2024,02/18/2024,AMZN Mktp US*RI26Y6DM2,Shopping,Sale,-43.09,
02/17/2024,02/18/2024,AMZN Mktp US*RW9NF7ZH0,Shopping,Sale,-35.71,
02/12/2024,02/13/2024,Spectrum,Bills & Utilities,Sale,-54.99,
02/12/2024,02/13/2024,AMZN Mktp US*RB7ZM5RM2,Shopping,Sale,-7.53,
02/10/2024,02/11/2024,AMZN Mktp US*RI4QZ8ZU0,Shopping,Sale,-7.70,
02/09/2024,02/09/2024,AMZN Mktp US*RB1EE1FP1,Shopping,Sale,-23.65,
02/07/2024,02/08/2024,Amazon.com*R26CF1UQ1,Shopping,Sale,-21.09,
02/02/2024,02/02/2024,Amazon Prime*R28U98XB2,Bills & Utilities,Sale,-16.15,
02/01/2024,02/02/2024,Payment Thank You - Web,,Payment,583.72,
01/31/2024,02/01/2024,Amazon.com*R071B4UT1,Shopping,Sale,-37.70,
02/01/2024,02/01/2024,AMZN Mktp US*R20L84A82,Shopping,Sale,-19.38,
01/29/2024,01/30/2024,AMZN Mktp US*R20QQ2PR0,Shopping,Sale,-18.20,
01/30/2024,01/30/2024,AMZN Mktp US*R07AC2Y62,Shopping,Sale,-4.30,
01/29/2024,01/30/2024,AMZN Mktp US*R24OV8E70,Shopping,Sale,-9.15,
01/29/2024,01/29/2024,AMZN Mktp US*R29545AG0,Shopping,Sale,-11.50,
01/16/2024,01/17/2024,PAYPAL *SPOTIFYUSAI,Bills & Utilities,Sale,-14.99,
01/15/2024,01/16/2024,AMZN Mktp US*R872100B0,Shopping,Sale,-10.72,
01/15/2024,01/16/2024,AMZN Mktp US*RT05H87Z2,Shopping,Sale,-20.46,
01/16/2024,01/16/2024,AMZN Mktp US*RT2JK4QQ1,Shopping,Sale,-7.53,
01/14/2024,01/15/2024,MINT MOBILE,Bills & Utilities,Sale,-60.06,
01/14/2024,01/15/2024,Amazon.com*R80BX6AB0,Shopping,Sale,-18.33,
01/14/2024,01/14/2024,Amazon.com*R89OC03S0,Shopping,Sale,-64.60,
01/12/2024,01/14/2024,Spectrum,Bills & Utilities,Sale,-54.99,
01/10/2024,01/11/2024,UCSD PARKING MOBILE EBIZ,Travel,Sale,-5.70,
01/10/2024,01/10/2024,AMZN Mktp US*RT0W50B30,Shopping,Sale,-9.69,
