Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/04/2025,08/06/2025,SDSU BOOKSTORE 304,Gifts & Donations,Sale,-57.11,
08/05/2025,08/05/2025,SQ *KILOWATT BREWING OCEA,Food & Drink,Sale,-6.14,
07/31/2025,08/03/2025,TRADER JOE S #224,Groceries,Sale,-4.38,
08/02/2025,08/03/2025,PETCO 0559,Shopping,Sale,-49.40,
08/02/2025,08/03/2025,PETCO 0559,Shopping,Sale,-13.46,
07/30/2025,07/31/2025,COSTCO GAS #0488,Gas,Sale,-29.85,
07/29/2025,07/31/2025,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.00,
07/29/2025,07/31/2025,TRADER JOE S #222,Groceries,Sale,-10.47,
07/29/2025,07/30/2025,GOOGLE *YouTube,Bills & Utilities,Sale,-7.99,
07/26/2025,07/28/2025,VONS #2012,Groceries,Sale,-14.32,
07/24/2025,07/27/2025,AZTEC MARKET BELL PAVI,Gifts & Donations,Sale,-3.39,
07/23/2025,07/25/2025,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.00,
07/23/2025,07/24/2025,NORTHGATE MARKET #036,Groceries,Sale,-68.62,
07/22/2025,07/24/2025,FACULTY STAFF CLUB 472,Gifts & Donations,Sale,-16.00,
07/20/2025,07/22/2025,M&amp;M MARKET,Shopping,Sale,-4.15,
07/21/2025,07/21/2025,IC* INSTACART,Groceries,Sale,-104.39,
07/14/2025,07/15/2025,SDSU,Education,Sale,-45.00,
07/12/2025,07/14/2025,ALASKA AIR  0272111230328,Travel,Sale,-35.00,
07/12/2025,07/13/2025,TST*PERCH CANTINA,Food & Drink,Sale,-18.20,
07/11/2025,07/13/2025,TOWNEPLACE SUITES RICH,Travel,Sale,-9.50,
07/11/2025,07/13/2025,TST*THE BRADLEY,Food & Drink,Sale,-33.28,
07/10/2025,07/13/2025,APPLEBEES 2107018,Food & Drink,Sale,-22.16,
